,Environment,Algorithm,Goal,Seed,AUC,Experiment
239,transfer,DQN-ReLU-vf5-transfer-129,130,2,9.99,DQN-ReLU-vf5-transfer
240,transfer,DQN-ReLU-transfer-157,158,0,9.43,DQN-ReLU-transfer
241,transfer,DQN-ReLU-transfer-157,158,1,9.86,DQN-ReLU-transfer
242,transfer,DQN-ReLU-transfer-157,158,2,9.83,DQN-ReLU-transfer
243,transfer,DQN-ReLU-transfer-157,158,4,8.7,DQN-ReLU-transfer
244,transfer,DQN-ReLU-transfer-157,158,3,9.18,DQN-ReLU-transfer
245,transfer,DQN-ReLU-vf5-transfer-165,166,2,10.0,DQN-ReLU-vf5-transfer
246,transfer,DQN-ReLU-vf5-transfer-165,166,1,10.0,DQN-ReLU-vf5-transfer
247,transfer,DQN-ReLU-vf5-transfer-165,166,4,9.99,DQN-ReLU-vf5-transfer
248,transfer,DQN-ReLU-vf5-transfer-165,166,3,9.75,DQN-ReLU-vf5-transfer
249,transfer,DQN-ReLU-vf5-transfer-165,166,0,9.96,DQN-ReLU-vf5-transfer
250,transfer,DQN-ReLU-transfer-83,84,2,3.57,DQN-ReLU-transfer
251,transfer,DQN-ReLU-transfer-83,84,4,2.26,DQN-ReLU-transfer
252,transfer,DQN-ReLU-transfer-83,84,3,9.24,DQN-ReLU-transfer
253,transfer,DQN-ReLU-transfer-83,84,0,8.870000000000001,DQN-ReLU-transfer
254,transfer,DQN-ReLU-transfer-83,84,1,8.02,DQN-ReLU-transfer
255,transfer,DQN-ReLU-vf5-transfer-64,65,4,9.95,DQN-ReLU-vf5-transfer
256,transfer,DQN-ReLU-vf5-transfer-64,65,0,10.0,DQN-ReLU-vf5-transfer
257,transfer,DQN-ReLU-vf5-transfer-64,65,2,8.22,DQN-ReLU-vf5-transfer
258,transfer,DQN-ReLU-vf5-transfer-64,65,1,9.43,DQN-ReLU-vf5-transfer
259,transfer,DQN-ReLU-vf5-transfer-64,65,3,9.29,DQN-ReLU-vf5-transfer
260,transfer,DQN-ReLU-transfer-17,18,2,9.94,DQN-ReLU-transfer
261,transfer,DQN-ReLU-transfer-17,18,3,10.0,DQN-ReLU-transfer
262,transfer,DQN-ReLU-transfer-17,18,4,9.97,DQN-ReLU-transfer
263,transfer,DQN-ReLU-transfer-17,18,0,10.0,DQN-ReLU-transfer
264,transfer,DQN-ReLU-transfer-17,18,1,10.0,DQN-ReLU-transfer
265,transfer,DQN-ReLU-vf5-transfer-125,126,0,9.57,DQN-ReLU-vf5-transfer
266,transfer,DQN-ReLU-vf5-transfer-125,126,1,7.21,DQN-ReLU-vf5-transfer
267,transfer,DQN-ReLU-vf5-transfer-125,126,4,9.43,DQN-ReLU-vf5-transfer
268,transfer,DQN-ReLU-vf5-transfer-125,126,2,8.79,DQN-ReLU-vf5-transfer
269,transfer,DQN-ReLU-vf5-transfer-125,126,3,9.37,DQN-ReLU-vf5-transfer
270,transfer,DQN-ReLU-vf5-transfer-45,46,2,9.15,DQN-ReLU-vf5-transfer
271,transfer,DQN-ReLU-vf5-transfer-45,46,4,9.0,DQN-ReLU-vf5-transfer
272,transfer,DQN-ReLU-vf5-transfer-45,46,1,10.0,DQN-ReLU-vf5-transfer
273,transfer,DQN-ReLU-vf5-transfer-45,46,3,9.9,DQN-ReLU-vf5-transfer
274,transfer,DQN-ReLU-vf5-transfer-45,46,0,9.73,DQN-ReLU-vf5-transfer
275,transfer,DQN-ReLU-vf5-transfer-24,25,3,9.99,DQN-ReLU-vf5-transfer
276,transfer,DQN-ReLU-vf5-transfer-24,25,4,9.97,DQN-ReLU-vf5-transfer
277,transfer,DQN-ReLU-vf5-transfer-24,25,2,10.0,DQN-ReLU-vf5-transfer
278,transfer,DQN-ReLU-vf5-transfer-24,25,0,9.6,DQN-ReLU-vf5-transfer
279,transfer,DQN-ReLU-vf5-transfer-24,25,1,10.0,DQN-ReLU-vf5-transfer
280,transfer,DQN-ReLU-vf5-transfer-132,133,4,10.0,DQN-ReLU-vf5-transfer
281,transfer,DQN-ReLU-vf5-transfer-132,133,1,9.99,DQN-ReLU-vf5-transfer
282,transfer,DQN-ReLU-vf5-transfer-132,133,0,9.07,DQN-ReLU-vf5-transfer
283,transfer,DQN-ReLU-vf5-transfer-132,133,3,10.0,DQN-ReLU-vf5-transfer
284,transfer,DQN-ReLU-vf5-transfer-132,133,2,10.0,DQN-ReLU-vf5-transfer
285,transfer,DQN-ReLU-vf5-transfer-28,29,0,9.22,DQN-ReLU-vf5-transfer
286,transfer,DQN-ReLU-vf5-transfer-28,29,3,10.0,DQN-ReLU-vf5-transfer
287,transfer,DQN-ReLU-vf5-transfer-28,29,4,9.78,DQN-ReLU-vf5-transfer
288,transfer,DQN-ReLU-vf5-transfer-28,29,1,9.83,DQN-ReLU-vf5-transfer
289,transfer,DQN-ReLU-vf5-transfer-28,29,2,10.0,DQN-ReLU-vf5-transfer
290,transfer,DQN-ReLU-transfer-60,61,2,8.58,DQN-ReLU-transfer
291,transfer,DQN-ReLU-transfer-60,61,4,9.28,DQN-ReLU-transfer
292,transfer,DQN-ReLU-transfer-60,61,3,9.2,DQN-ReLU-transfer
293,transfer,DQN-ReLU-transfer-60,61,1,9.03,DQN-ReLU-transfer
294,transfer,DQN-ReLU-transfer-60,61,0,8.25,DQN-ReLU-transfer
295,transfer,DQN-ReLU-vf5-transfer-68,69,3,10.0,DQN-ReLU-vf5-transfer
296,transfer,DQN-ReLU-vf5-transfer-68,69,0,9.74,DQN-ReLU-vf5-transfer
297,transfer,DQN-ReLU-vf5-transfer-68,69,1,9.99,DQN-ReLU-vf5-transfer
