,Environment,Algorithm,Goal,Seed,AUC
345,transfer,DQN-ReLU-transfer-116,116,2,3.81
346,transfer,DQN-ReLU-transfer-116,116,3,8.629999999999999
347,transfer,DQN-ReLU-transfer-116,116,4,7.98
348,transfer,DQN-ReLU-transfer-116,116,0,8.94
349,transfer,DQN-ReLU-transfer-116,116,1,7.779999999999999
350,transfer,DQN-ReLU-transfer--1,-1,1,10.0
351,transfer,DQN-ReLU-transfer--1,-1,2,9.99
352,transfer,DQN-ReLU-transfer--1,-1,0,10.0
353,transfer,DQN-ReLU-transfer--1,-1,4,10.0
354,transfer,DQN-ReLU-transfer--1,-1,3,10.0
355,transfer,DQN-ReLU-vf5-transfer-144,144,4,9.3
356,transfer,DQN-ReLU-vf5-transfer-144,144,1,9.31
357,transfer,DQN-ReLU-vf5-transfer-144,144,0,9.94
358,transfer,DQN-ReLU-vf5-transfer-144,144,3,9.879999999999999
359,transfer,DQN-ReLU-vf5-transfer-144,144,2,9.89
360,transfer,DQN-ReLU-vf5-transfer-148,148,4,9.129999999999999
361,transfer,DQN-ReLU-vf5-transfer-148,148,0,9.1
362,transfer,DQN-ReLU-vf5-transfer-148,148,3,9.85
363,transfer,DQN-ReLU-vf5-transfer-148,148,1,9.1
364,transfer,DQN-ReLU-vf5-transfer-148,148,2,9.39
365,transfer,DQN-ReLU-vf5-transfer-33,33,2,10.0
366,transfer,DQN-ReLU-vf5-transfer-33,33,4,10.0
367,transfer,DQN-ReLU-vf5-transfer-33,33,3,10.0
368,transfer,DQN-ReLU-vf5-transfer-33,33,0,9.06
369,transfer,DQN-ReLU-vf5-transfer-33,33,1,9.99
370,transfer,DQN-ReLU-vf5-transfer-139,139,4,9.05
371,transfer,DQN-ReLU-vf5-transfer-139,139,3,9.5
372,transfer,DQN-ReLU-vf5-transfer-139,139,1,10.0
373,transfer,DQN-ReLU-vf5-transfer-139,139,2,10.0
374,transfer,DQN-ReLU-vf5-transfer-139,139,0,10.0
375,transfer,DQN-ReLU-transfer-56,56,3,8.39
376,transfer,DQN-ReLU-transfer-56,56,1,8.15
377,transfer,DQN-ReLU-transfer-56,56,4,9.01
378,transfer,DQN-ReLU-transfer-56,56,0,9.51
379,transfer,DQN-ReLU-transfer-56,56,2,8.47
380,transfer,DQN-ReLU-vf5-transfer-87,87,0,9.98
381,transfer,DQN-ReLU-vf5-transfer-87,87,2,9.99
382,transfer,DQN-ReLU-vf5-transfer-87,87,4,9.530000000000001
383,transfer,DQN-ReLU-vf5-transfer-87,87,3,10.0
384,transfer,DQN-ReLU-vf5-transfer-87,87,1,10.0
385,transfer,DQN-ReLU-transfer-82,82,2,2.17
386,transfer,DQN-ReLU-transfer-82,82,1,8.06
387,transfer,DQN-ReLU-transfer-82,82,4,6.959999999999999
388,transfer,DQN-ReLU-transfer-82,82,0,9.3
389,transfer,DQN-ReLU-transfer-82,82,3,8.370000000000001
390,transfer,DQN-ReLU-vf5-transfer-32,32,3,9.98
391,transfer,DQN-ReLU-vf5-transfer-32,32,4,9.34
392,transfer,DQN-ReLU-vf5-transfer-32,32,1,10.0
393,transfer,DQN-ReLU-vf5-transfer-32,32,0,10.0
394,transfer,DQN-ReLU-vf5-transfer-32,32,2,9.45
395,transfer,DQN-ReLU-vf5-transfer-29,29,0,9.94
396,transfer,DQN-ReLU-vf5-transfer-29,29,4,10.0
397,transfer,DQN-ReLU-vf5-transfer-29,29,1,10.0
398,transfer,DQN-ReLU-vf5-transfer-29,29,3,9.89
399,transfer,DQN-ReLU-vf5-transfer-29,29,2,9.98
400,transfer,DQN-ReLU-transfer-57,57,0,8.94
401,transfer,DQN-ReLU-transfer-57,57,1,8.97
402,transfer,DQN-ReLU-transfer-57,57,3,9.44
403,transfer,DQN-ReLU-transfer-57,57,2,9.14
404,transfer,DQN-ReLU-transfer-57,57,4,9.11
405,transfer,DQN-ReLU-transfer-37,37,1,9.97
406,transfer,DQN-ReLU-transfer-37,37,2,9.29
407,transfer,DQN-ReLU-transfer-37,37,3,9.870000000000001
408,transfer,DQN-ReLU-transfer-37,37,0,10.0
409,transfer,DQN-ReLU-transfer-37,37,4,9.84
410,transfer,DQN-ReLU-vf5-transfer-104,104,4,9.879999999999999
411,transfer,DQN-ReLU-vf5-transfer-104,104,2,7.9
412,transfer,DQN-ReLU-vf5-transfer-104,104,0,9.969999999999999
413,transfer,DQN-ReLU-vf5-transfer-104,104,1,9.07
414,transfer,DQN-ReLU-vf5-transfer-104,104,3,10.0
415,transfer,DQN-ReLU-vf5-transfer-55,55,0,9.030000000000001
416,transfer,DQN-ReLU-vf5-transfer-55,55,3,10.0
417,transfer,DQN-ReLU-vf5-transfer-55,55,2,10.0
418,transfer,DQN-ReLU-vf5-transfer-55,55,1,10.0
419,transfer,DQN-ReLU-vf5-transfer-55,55,4,9.530000000000001
420,transfer,DQN-ReLU-vf5-transfer-52,52,3,9.99
421,transfer,DQN-ReLU-vf5-transfer-52,52,4,9.55
422,transfer,DQN-ReLU-vf5-transfer-52,52,0,9.17
423,transfer,DQN-ReLU-vf5-transfer-52,52,1,9.99
424,transfer,DQN-ReLU-vf5-transfer-52,52,2,10.0
425,transfer,DQN-ReLU-transfer-10,10,3,10.0
426,transfer,DQN-ReLU-transfer-10,10,4,9.98
427,transfer,DQN-ReLU-transfer-10,10,2,10.0
428,transfer,DQN-ReLU-transfer-10,10,0,10.0
429,transfer,DQN-ReLU-transfer-10,10,1,10.0
430,transfer,DQN-ReLU-transfer-36,36,4,9.68
431,transfer,DQN-ReLU-transfer-36,36,0,10.0
432,transfer,DQN-ReLU-transfer-36,36,2,9.89
433,transfer,DQN-ReLU-transfer-36,36,1,9.92
434,transfer,DQN-ReLU-transfer-36,36,3,9.98
435,transfer,DQN-ReLU-vf5-transfer-69,69,4,9.91
436,transfer,DQN-ReLU-vf5-transfer-69,69,2,9.91
