,Environment,Algorithm,Steps,Run,AUC,Return,P_AUC
172,DRQN-9.json,DRQN-9,500000,8,1.0429743117871983,5214.871558935992,1.2465075213791974
173,DRQN-9.json,DRQN-9,500000,11,0.9848353332392262,4924.176666196131,1.063243606251991
174,DRQN-9.json,DRQN-9,500000,23,0.8338747929789894,4169.373964894947,0.9560789384967334
175,DRQN-9.json,DRQN-9,500000,17,0.9860944933014482,4930.472466507241,1.0948055921491104
176,DRQN-9.json,DRQN-9,500000,29,0.9863929052589254,4931.964526294627,1.0552908329638784
177,DRQN-9.json,DRQN-9,500000,26,1.0549507826978515,5274.753913489258,1.1428682762631845
178,DRQN-9.json,DRQN-9,500000,14,0.8302320001115532,4151.160000557766,0.9497296188940744
179,DRQN-9.json,DRQN-9,500000,20,0.9120729334370732,4560.364667185366,1.016593001086773
180,DQN-7.json,DQN-7,500000,12,0.8373290272007949,4186.645136003975,0.84647675241188
181,DQN-7.json,DQN-7,500000,0,0.901325821957704,4506.6291097885205,0.633638067351844
182,DQN-7.json,DQN-7,500000,21,0.8597924275997276,4298.962137998638,0.86004194220248
183,DQN-7.json,DQN-7,500000,18,0.9625247402357818,4812.623701178909,1.0010230249923462
184,DQN-7.json,DQN-7,500000,3,0.6817165772332524,3408.582886166262,0.5442046292930086
185,DQN-7.json,DQN-7,500000,15,0.8616110034308796,4308.055017154398,0.8955218095417179
186,DQN-7.json,DQN-7,500000,9,0.8257867493327984,4128.933746663992,0.8011070714024529
187,DQN-7.json,DQN-7,500000,6,0.8201608760283979,4100.80438014199,0.9436939515523399
188,DQN-7.json,DQN-7,500000,24,0.7348894095406043,3674.447047703022,0.49427128682849186
189,DQN-7.json,DQN-7,500000,27,0.7829191161233467,3914.5955806167335,0.9010275966590929
190,DQN-7.json,DQN-7,500000,4,0.7212650418230023,3606.3252091150116,0.7625122302683014
191,DQN-7.json,DQN-7,500000,13,0.582965389055334,2914.82694527667,0.6722252728042899
192,DQN-7.json,DQN-7,500000,7,0.8724275912329397,4362.137956164698,0.8990966857100614
193,DQN-7.json,DQN-7,500000,10,0.5357039889728831,2678.5199448644153,0.4216894725468949
194,DQN-7.json,DQN-7,500000,1,0.7242140447701982,3621.070223850991,0.6546542048531584
195,DQN-7.json,DQN-7,500000,16,0.7958412826284835,3979.2064131424177,0.7399010027500353
196,DQN-7.json,DQN-7,500000,19,0.9647736822601446,4823.868411300723,1.1712980144068397
197,DQN-7.json,DQN-7,500000,28,0.820343549968665,4101.717749843325,0.9078455901747875
198,DQN-7.json,DQN-7,500000,25,0.9003407384944924,4501.703692472462,1.133744383907047
199,DQN-7.json,DQN-7,500000,22,0.8619945744420333,4309.972872210166,1.0282601980477404
200,DQN-7.json,DQN-7,500000,5,0.844833366058647,4224.166830293235,0.9991396053621413
201,DQN-7.json,DQN-7,500000,8,0.7096564389173889,3548.2821945869446,0.7252535993034454
202,DQN-7.json,DQN-7,500000,2,0.9147796246490054,4573.898123245027,0.8928601418065821
203,DQN-7.json,DQN-7,500000,14,0.6018124442064948,3009.062221032474,0.5314216387152476
204,DQN-7.json,DQN-7,500000,11,0.7857013064931729,3928.5065324658644,0.8280935633090617
205,DQN-7.json,DQN-7,500000,17,0.7650530775378557,3825.265387689278,0.6827482082988235
206,DQN-7.json,DQN-7,500000,26,0.8259725079982698,4129.862539991349,0.8035953231217696
207,DQN-7.json,DQN-7,500000,23,0.7281844582750163,3640.922291375082,0.8725441657048488
208,DQN-7.json,DQN-7,500000,29,0.8080941034052033,4040.4705170260163,0.7242179031078096
209,DQN-7.json,DQN-7,500000,20,0.7390882927936728,3695.441463968364,0.8239675313565483
